slug,name,city,state,website,email,confidence,source,notes,__file
moir-litigation-video-llc-albuquerque,Moir Litigation Video LLC,albuquerque,NM,https://www.moirvideo.com,moirvideo@comcast.net,high,website contact page (https://www.moirvideo.com/contact-us--schedule-depo.html),,/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
naegeli-deposition-trial-albuquerque,NAEGELI Deposition & Trial,albuquerque,NM,https://www.naegeliusa.com/locations/albuquerque-new-mexico,SCHEDULE@NAEGELIUSA.COM,high,website location page and New Mexico page,"Email provided for scheduling on Albuquerque location page [1] and New Mexico page [2]; no separate general contact email found, contact pages use forms.",/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
planet-depos-albuquerque,Planet Depos,albuquerque,NM,https://planetdepos.com/locations/new-mexico,schedulenow@planetdepos.com,high,planetdepos.com/locations/new-mexico and multiple other pages including contact and schedule-now,"This is the primary contact email listed for scheduling and general inquiries, including specifically on the New Mexico location page. No separate Albuquerque-specific email found.",/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
taffy-productions-albuquerque,Taffy Productions,albuquerque,NM,https://taffyproductions.com,,low,Search results show masked/redacted email addresses,"Search results indicate Taffy Productions has email addresses at taffyproductions.com domain, but specific addresses are redacted in the search results (shown as a***@taffyproductions.com and ❅❅❅❅❅@taffyproductions.com). The website contact page exists at taffyproductions.com/contact.html but the actual email address is not visible in the provided search results.",/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
trattel-court-reporting-albuquerque,Trattel Court Reporting,albuquerque,NM,https://trattel.com,office@Trattel.com,high,website contact page (https://trattel.com/contact/),"Email consistently listed across multiple pages including contact, schedule, and Santa Fe location.",/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
veritext-albuquerque,Veritext,albuquerque,NM,https://veritext.com/albuquerque/,albuquerque@veritext.com,high,https://veritext.com/albuquerque/ (Albuquerque location page),Listed directly under contact information with phone number (505) 843-9241 (scheduling),/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
williams-associates-court-reporting-albuquerque,Williams & Associates Court Reporting,albuquerque,NM,https://www.williamsnm.com,,high,website contact page and other sources,"No email address found on website (contact form only), legal directories, or other listings; phone and address available.",/Users/nick/Desktop/depohire-src/src/data/listings/albuquerque.json
angeldown-legal-video-services-atlanta,AngelDown Legal Video Services,atlanta,GA,https://angeldownlegal.com,Admin@angeldownlegal.com,high,website contact page (https://angeldownlegal.com/contact/),Ben@angeldownlegal.com also listed on VoyageATL interview [1] and Payne Court Reporting [3]; Admin email is primary on official contact page.,/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
citedepos-atlanta,CiteDepos,atlanta,GA,https://www.citedepos.com,info@CiteDepos.com,high,website contact page (https://www.citedepos.com/atlanta-ga-deposition-court-reporting-services/),"Email address appears consistently across multiple pages of their website for Atlanta, GA location and general inquiries",/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
gallo-legal-atlanta,Gallo Legal,atlanta,GA,https://www.gallo.legal,,high,website contact page (https://www.gallo.legal/contact/) and other search results,"Contact page lists 'General E-Mail: Click here to contact us.' (likely form or link); no explicit email address found across website, directories, or profiles. Phone numbers available.",/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
janice-s-baker-associates-atlanta,Janice S. Baker & Associates,atlanta,GA,https://www.janicebakerfirm.com,,high,website contact page and other sources,"No full email address found; partial email j***@janicebakerfirm.com on ZoomInfo[2], but contact page[1] lists only phone numbers and addresses.",/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
legal-video-services-atlanta,Legal Video Services,atlanta,GA,https://atlantalegalvideo.com,,high,website and directories searched,No contact email found on website (only phone/mailing address); partial email (n***@atlantalegalvideo.com) on ZoomInfo but not full; other results are different businesses.,/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
milestone-reporting-company-atlanta,Milestone Reporting Company,atlanta,GA,https://milestonereporting.com,,high,website pages and directories searched,Only phone number (407) 423-9900 found repeatedly on website; no email addresses listed in any search results.,/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
take-one-productions-atlanta,Take One Productions,atlanta,GA,https://www.topdepos.com,scheduling@topdepos.com,high,website contact page https://www.topdepos.com/contact,"This matches the provided website for Take One Productions in Atlanta, GA area (706 area code); other results are for different companies in PA or elsewhere.",/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
veritext-legal-solutions-atlanta,Veritext Legal Solutions,atlanta,GA,https://veritext.com,atlanta@veritext.com,high,https://veritext.com/atlanta-2/ (Atlanta office page),Directly listed under Atlanta office contact info: 770-343-9696 (Direct) | 855-282-1018 (Scheduling) [email protected],/Users/nick/Desktop/depohire-src/src/data/listings/atlanta.json
bishop-legal-video-austin,Bishop Legal Video,austin,TX,https://www.bishoplegalvideo.com,tim@bishoplegalvideo.com,high,https://www.bishoplegalvideo.com/videoconference,Email listed for Tim Bishop on the business's own website.,/Users/nick/Desktop/depohire-src/src/data/listings/austin.json
central-texas-litigation-support-services-austin,Central Texas Litigation Support Services,austin,TX,https://centexlitigation.com/video-depositions/,kburrow@centexlitigation.com,high,Texas Courts certified firms list PDF [6],"Listed as contact email for Kathy Burrow, President; older BBB snippet shows [email protected] but likely redacted; no email on current website contact page.",/Users/nick/Desktop/depohire-src/src/data/listings/austin.json
art-miller-and-associates-inc-baltimore,"Art Miller and Associates, Inc",baltimore,MD,,,high,Multiple court reporter directories and sponsor listings,"Phone numbers found (410-461-..., 410-494-8300) but no email address located in search results for Art Miller and Associates, Inc in Baltimore MD area.",/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
crc-salomon-baltimore,CRC Salomon,baltimore,MD,https://www.crcsalomon.com,info@crcsalomon.com,high,website contact page (https://www.crcsalomon.com/contact/),Email confirmed on multiple pages including reporting opportunities.,/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
gore-brothers-reporting-video-inc-baltimore,"Gore Brothers Reporting & Video, Inc.",baltimore,MD,,,high,"Multiple directories including SignalHire [2], PeopleSmart [4], and NNRC [1]",Company website gorebrothers.com listed in sources but no email found in results; acquired by Veritext [5]; phone (410) 837-3027 repeatedly listed.,/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
in-focus-video-productions-baltimore,In Focus Video Productions,baltimore,MD,http://www.infocusvp.com,,high,"searched website (http://www.infocusvp.com/contact.html), directories, and other sources",Contact page has a form but no visible email address; only phone 443-205-5762 listed in directories[1]. Other results are different companies.,/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
kaplan-leaman-wolfe-baltimore,Kaplan Leaman & Wolfe,baltimore,MD,https://klwreporters.com,gwolfe@klwreporters.com,high,website locations page (https://klwreporters.com/locations/),Listed as general contact email for global reporting services; also appears on homepage.,/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
planet-depos-baltimore,Planet Depos,baltimore,MD,https://planetdepos.com,schedulenow@planetdepos.com,high,Planet Depos Baltimore office website (planetdepos.com/locations/maryland/baltimore),"Email address listed on the Baltimore, MD office page and confirmed across multiple Planet Depos location pages and contact pages",/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
pohlmanusa-baltimore,PohlmanUSA,baltimore,MD,https://pohlmanusa.com,calendar-pohlman@veritext.com,high,https://pohlmanusa.com/contact-us/,General contact email listed on the website's contact page; department-specific emails like records@pohlmanusa.com also available but this is the primary one shown.,/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
veritext-baltimore,Veritext,baltimore,MD,https://veritext.com,,high,Veritext Baltimore official website (veritext.com/baltimore/),Email listed on the Baltimore office page. Alternative contact methods available: phone 410-837-3027 (direct) or 800-734-5292 (scheduling),/Users/nick/Desktop/depohire-src/src/data/listings/baltimore.json
legal-media-services-llc-boston,Legal Media Services LLC,boston,MA,https://www.legalvideonh.com/deposition-videography/massachusetts,,high,website https://www.legalvideonh.com/deposition-videography/massachusetts and subpages scanned in search results,Contact sections on the website show placeholders for email but no actual email address provided; only phone and form encouraged.,/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
mvp-video-promotions-boston,MVP Video & Promotions,boston,NC,https://mvpvideopromo.com/legal-video/,,high,website search results,"MVP Video & Promotions is located in Burlington, NC (not Boston, NC). Search results show phone number (336-227-7773) and physical address (126 W. Front St. Suite 202, Burlington, NC 27215) on their website contact page, but no specific email address is provided in the available search results. The contact page includes a contact form but does not display a direct email address.",/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
naegeli-deposition-trial-boston,NAEGELI Deposition & Trial,boston,MA,https://www.naegeliusa.com/locations/boston-massachusetts,schedule@naegeliusa.com,high,"Company website location pages (e.g., Springfield, Worcester)","Consistent scheduling email across multiple NAEGELI location pages; no Boston-specific email found, but appears to be company-wide contact. Main contact page uses forms only.",/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
new-england-trial-services-boston,New England Trial Services,boston,MA,https://newenglandtrialservices.com/video-depositions/,,low,Search results do not contain email address; only phone number (617.894.4131) and contact form found,New England Trial Services website has a contact form but no publicly listed email address in available search results. Contact can be made via phone or website form.,/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
new-england-video-depositions-boston,New England Video Depositions,boston,MA,https://www.newenglandvideodepositions.com,dan.lohaus@gmail.com,high,business website (homepage and contact page),,/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
stream-productions-aka-national-video-reporters-inc-boston,"Stream Productions aka National Video Reporters, Inc.",boston,MA,,,high,"Searched websites (streamboston.com), Google Business profiles, and legal directories","Stream Productions (streamboston.com) lists phone (781) 937-9900 and address in Millbury, MA, but no email. Other sites like videoproductioncompanyboston.com have different emails but do not match the business name 'Stream Productions aka National Video Reporters, Inc.' No match found for National Video Reporters, Inc.",/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
